Voltage,Current
V,A
0.04901,1.06E-05
0.04999,1.07E-05
0.05101,1.09E-05
0.05202,1.09E-05
0.05301,1.10E-05
0.05403,1.11E-05
0.05502,1.12E-05
0.05602,1.13E-05
0.05702,1.14E-05
0.05801,1.15E-05
0.05902,1.16E-05
0.06003,1.18E-05
0.06101,1.19E-05
0.06201,1.20E-05
0.06301,1.21E-05
0.06401,1.22E-05
0.06504,1.24E-05
0.06602,1.24E-05
0.06702,1.25E-05
0.06803,1.26E-05
0.06903,1.27E-05
0.07002,1.28E-05
0.07102,1.30E-05
0.07201,1.30E-05
0.07301,1.32E-05
0.07401,1.33E-05
0.07501,1.35E-05
0.07601,1.35E-05
0.07701,1.37E-05
0.07804,1.37E-05
0.07903,1.39E-05
0.08003,1.40E-05
0.08102,1.41E-05
0.08203,1.43E-05
0.08302,1.44E-05
0.08404,1.44E-05
0.08503,1.46E-05
0.08602,1.48E-05
0.08703,1.49E-05
0.08802,1.51E-05
0.08902,1.52E-05
0.09002,1.54E-05
0.09103,1.55E-05
0.09204,1.56E-05
0.09303,1.58E-05
0.09403,1.60E-05
0.09502,1.62E-05
0.09601,1.63E-05
0.09702,1.65E-05
0.09801,1.67E-05
0.09901,1.69E-05
0.1,1.71E-05
0.101,1.74E-05
0.102,1.76E-05
0.103,1.79E-05
0.104,1.82E-05
0.105,1.85E-05
0.106,1.88E-05
0.107,1.90E-05
0.108,1.94E-05
0.109,1.97E-05
0.11,2.01E-05
0.111,2.05E-05
0.112,2.08E-05
0.113,2.13E-05
0.114,2.17E-05
0.115,2.23E-05
0.116,2.27E-05
0.117,2.33E-05
0.118,2.39E-05
0.119,2.46E-05
0.12,2.53E-05
0.121,2.61E-05
0.122,2.68E-05
0.123,2.78E-05
0.124,2.88E-05
0.125,3.00E-05
0.126,3.13E-05
0.127,3.28E-05
0.128,3.46E-05
0.1291,3.67E-05
0.13,3.90E-05
0.131,4.18E-05
0.132,4.50E-05
0.133,4.87E-05
0.134,5.29E-05
0.135,5.77E-05
0.136,6.30E-05
0.137,6.89E-05
0.138,7.53E-05
0.139,8.23E-05
0.14,8.98E-05
0.141,9.78E-05
0.142,1.06E-04
0.143,1.15E-04
0.144,1.24E-04
0.145,1.34E-04
0.146,1.44E-04
0.147,1.54E-04
0.148,1.65E-04
0.149,1.75E-04
0.15,1.86E-04
0.151,1.97E-04
0.152,2.07E-04
0.153,2.18E-04
0.154,2.29E-04
0.155,2.39E-04
0.156,2.50E-04
0.157,2.61E-04
0.158,2.71E-04
0.159,2.82E-04
0.16,2.93E-04
0.161,3.03E-04
0.162,3.14E-04
0.163,3.24E-04
0.164,3.35E-04
0.165,3.46E-04
0.166,3.56E-04
0.167,3.66E-04
0.168,3.77E-04
0.1691,3.87E-04
0.17,3.97E-04
0.171,4.08E-04
0.172,4.18E-04
0.173,4.28E-04
0.174,4.38E-04
0.175,4.47E-04
0.176,4.57E-04
0.177,4.67E-04
0.178,4.76E-04
0.179,4.85E-04
0.18,4.94E-04
0.181,5.03E-04
0.182,5.11E-04
0.183,5.20E-04
0.184,5.28E-04
0.185,5.35E-04
0.186,5.43E-04
0.187,5.50E-04
0.188,5.57E-04
0.189,5.63E-04
0.19,5.69E-04
0.191,5.75E-04
0.192,5.80E-04
0.1931,5.85E-04
0.1941,5.90E-04
0.1951,5.94E-04
0.1961,5.98E-04
0.197,6.01E-04
0.198,6.04E-04
0.199,6.06E-04
0.2,6.08E-04
0.201,6.09E-04
0.202,6.09E-04
0.203,6.09E-04
0.204,6.09E-04
0.205,6.08E-04
0.206,6.06E-04
0.2071,6.04E-04
0.208,6.01E-04
0.209,5.97E-04
0.21,5.93E-04
0.211,5.87E-04
0.212,5.81E-04
0.213,5.73E-04
0.214,5.65E-04
0.215,5.55E-04
0.216,5.43E-04
0.217,5.30E-04
0.218,5.16E-04
0.2191,5.00E-04
0.2201,4.82E-04
0.2211,4.61E-04
0.2221,4.39E-04
0.223,4.13E-04
0.2241,3.85E-04
0.2251,3.52E-04
0.226,3.17E-04
0.2271,2.83E-04
0.2281,2.51E-04
0.229,2.22E-04
0.23,1.96E-04
0.2311,1.73E-04
0.2321,1.54E-04
0.2331,1.38E-04
0.2341,1.25E-04
0.2351,1.14E-04
0.2361,1.05E-04
0.2371,9.70E-05
0.2381,9.06E-05
0.2391,8.53E-05
0.24,8.06E-05
0.2411,7.68E-05
0.242,7.33E-05
0.243,7.03E-05
0.2441,6.77E-05
0.2451,6.54E-05
0.2461,6.32E-05
0.2471,6.13E-05
0.2481,5.96E-05
0.2491,5.80E-05
0.25,5.66E-05
0.2511,5.53E-05
0.2521,5.41E-05
0.2531,5.30E-05
0.254,5.19E-05
0.255,5.10E-05
0.256,5.01E-05
0.2571,4.93E-05
0.2581,4.85E-05
0.2591,4.78E-05
0.2601,4.72E-05
0.2611,4.66E-05
0.2621,4.59E-05
0.2631,4.54E-05
0.2641,4.48E-05
0.2651,4.44E-05
0.2661,4.40E-05
0.2671,4.36E-05
0.2681,4.31E-05
0.269,4.27E-05
0.2701,4.23E-05
0.2711,4.21E-05
0.2721,4.17E-05
0.2731,4.14E-05
0.2741,4.11E-05
0.2751,4.09E-05
0.2761,4.07E-05
0.2771,4.04E-05
0.2781,4.01E-05
0.2791,4.00E-05
0.2801,3.98E-05
0.2811,3.97E-05
0.2821,3.95E-05
0.2831,3.93E-05
0.2841,3.91E-05
0.2851,3.91E-05
0.2861,3.89E-05
0.2871,3.88E-05
0.2881,3.86E-05
0.2891,3.85E-05
0.2901,3.84E-05
0.2911,3.83E-05
0.2921,3.82E-05
0.293,3.81E-05
0.2941,3.80E-05
0.295,3.80E-05
0.2961,3.79E-05
0.2971,3.79E-05
0.2981,3.78E-05
0.2991,3.78E-05
0.3001,3.77E-05
0.3011,3.77E-05
0.3021,3.76E-05
0.3031,3.76E-05
0.3041,3.76E-05
0.3051,3.76E-05
0.3061,3.75E-05
0.3071,3.75E-05
0.3081,3.75E-05
0.3091,3.75E-05
0.3101,3.74E-05
0.3111,3.75E-05
0.3121,3.74E-05
0.3131,3.75E-05
0.3141,3.75E-05
0.3151,3.75E-05
0.3161,3.75E-05
0.3171,3.75E-05
0.3181,3.76E-05
0.3191,3.76E-05
0.3201,3.76E-05
0.3211,3.76E-05
0.3221,3.77E-05
0.3231,3.78E-05
0.3241,3.78E-05
0.3251,3.79E-05
0.3261,3.79E-05
0.3271,3.80E-05
0.3281,3.80E-05
0.3291,3.81E-05
0.3301,3.81E-05
0.3311,3.83E-05
0.3321,3.84E-05
0.3331,3.85E-05
0.3341,3.86E-05
0.3351,3.87E-05
0.3361,3.87E-05
0.3371,3.89E-05
0.3381,3.90E-05
0.3391,3.91E-05
0.3401,3.92E-05
0.3411,3.94E-05
0.3421,3.95E-05
0.3431,3.96E-05
0.3441,3.97E-05
0.3451,3.99E-05
0.3461,4.00E-05
0.3471,4.02E-05
0.3481,4.03E-05
0.3491,4.05E-05
0.3501,4.07E-05
0.3511,4.09E-05
0.3521,4.10E-05
0.3531,4.12E-05
0.3541,4.14E-05
0.3551,4.16E-05
0.3561,4.17E-05
0.3571,4.19E-05
0.3581,4.21E-05
0.3591,4.24E-05
0.3601,4.26E-05
0.3611,4.28E-05
0.3621,4.30E-05
0.3631,4.33E-05
0.3641,4.36E-05
0.3651,4.38E-05
0.3661,4.41E-05
0.3671,4.43E-05
0.3681,4.45E-05
0.3691,4.48E-05
0.3701,4.50E-05
0.3711,4.54E-05
0.3721,4.56E-05
0.3731,4.59E-05
0.3741,4.61E-05
0.3751,4.64E-05
0.3761,4.66E-05
0.3771,4.69E-05
0.3781,4.72E-05
0.3791,4.75E-05
0.3801,4.78E-05
0.3811,4.81E-05
0.3821,4.84E-05
0.3831,4.88E-05
0.3841,4.91E-05
0.3851,4.94E-05
0.3861,4.97E-05
0.3871,5.01E-05
0.3881,5.04E-05
0.3891,5.08E-05
0.3901,5.11E-05
0.3911,5.15E-05
0.3921,5.18E-05
0.3931,5.21E-05
0.3941,5.24E-05
0.3951,5.28E-05
0.3961,5.31E-05
0.3971,5.35E-05
0.3981,5.38E-05
0.3991,5.42E-05
0.4001,5.46E-05
0.3992,4.75E-05
0.3982,4.40E-05
0.3971,4.12E-05
0.3961,3.89E-05
0.3951,3.68E-05
0.3941,3.49E-05
0.3931,3.32E-05
0.3922,3.15E-05
0.3911,3.01E-05
0.3901,2.86E-05
0.3891,2.73E-05
0.3882,2.60E-05
0.3872,2.49E-05
0.3862,2.37E-05
0.3851,2.28E-05
0.3841,2.17E-05
0.3831,2.08E-05
0.3821,1.99E-05
0.3811,1.90E-05
0.3801,1.81E-05
0.3791,1.74E-05
0.3781,1.66E-05
0.3771,1.59E-05
0.3761,1.52E-05
0.3751,1.45E-05
0.3741,1.39E-05
0.3731,1.32E-05
0.3721,1.26E-05
0.3711,1.21E-05
0.3701,1.15E-05
0.3691,1.10E-05
0.3681,1.05E-05
0.3671,1.00E-05
0.3661,9.54E-06
0.3651,9.09E-06
0.3641,8.61E-06
0.3631,8.21E-06
0.3621,7.80E-06
0.3611,7.44E-06
0.3601,7.00E-06
0.3591,6.60E-06
0.3581,6.22E-06
0.3571,5.92E-06
0.3561,5.53E-06
0.3551,5.29E-06
0.3541,4.93E-06
0.3531,4.65E-06
0.3521,4.30E-06
0.3511,4.03E-06
0.3501,3.74E-06
0.3491,3.47E-06
0.3481,3.17E-06
0.3471,2.92E-06
0.3461,2.64E-06
0.3451,2.44E-06
0.3441,2.17E-06
0.3431,1.99E-06
0.3421,1.77E-06
0.3411,1.55E-06
0.3401,1.33E-06
0.3391,1.17E-06
0.3381,9.05E-07
0.3371,7.63E-07
0.3361,5.38E-07
0.3351,3.41E-07
0.3341,1.63E-07
0.3331,-2.73E-08
0.3321,-2.40E-07
0.3311,-4.48E-07
0.3301,-6.57E-07
0.3291,-7.91E-07
0.3281,-9.62E-07
0.3271,-1.12E-06
0.3261,-1.29E-06
0.3251,-1.38E-06
0.3241,-1.56E-06
